Sample ID,Formation,Site,Member,Family,d13C value,% C4
AV-FS-1353,Koobi Fora,East Turkana,Lokochot,Bovidae,-5.5,45.8
AV-FS-1520,Koobi Fora,East Turkana,Lokochot,Bovidae,-4.3,53.6
AV-FS-13-77-2,Koobi Fora,East Turkana,Lokochot,Bovidae,-4.8,50.3
AV-FS-13-77-1,Koobi Fora,East Turkana,Lokochot,Bovidae,-4.8,50.3
AV-FS-1533,Koobi Fora,East Turkana,Lokochot,Bovidae,-4.3,53.6
AV-FS-13113-2,Koobi Fora,East Turkana,Lokochot,Bovidae,-3.3,60.1
AV-FS-1372,Koobi Fora,East Turkana,Lokochot,Bovidae,-2.7,64.1
AV-FS-1524,Koobi Fora,East Turkana,Lokochot,Bovidae,-2,68.6
AV-FS-1530,Koobi Fora,East Turkana,Lokochot,Bovidae,-6,42.5
AV-FS-1536,Koobi Fora,East Turkana,Lokochot,Bovidae,-4.9,49.7
AV-FS-1374,Koobi Fora,East Turkana,Lokochot,Bovidae,0,81.7
AV-FS-1392,Koobi Fora,East Turkana,Lokochot,Bovidae,-4.7,51.0
AV-FS-1525-2,Koobi Fora,East Turkana,Lokochot,Bovidae,-2.9,62.7
1079,Koobi Fora,East Turkana,Lokochot,Bovidae,-0.27,79.9
1093,Koobi Fora,East Turkana,Lokochot,Bovidae,-2.38,66.1
1250,Koobi Fora,East Turkana,Lokochot,Bovidae,0.12,82.5
AV FS 1514,Koobi Fora,East Turkana,Lokochot,Bovidae,-2.53,65.2
AV FS 1517,Koobi Fora,East Turkana,Lokochot,Bovidae,-7.48,32.8
AV FS 1523,Koobi Fora,East Turkana,Lokochot,Bovidae,-1.22,73.7
ET03-136,Koobi Fora,East Turkana,Lokochot,Bovidae,-3.23,60.6
ET03-143,Koobi Fora,East Turkana,Lokochot,Bovidae,-1.88,69.4
ET03-156,Koobi Fora,East Turkana,Lokochot,Bovidae,-0.47,78.6
ET03-157,Koobi Fora,East Turkana,Lokochot,Bovidae,-2.44,65.8
ET03-163,Koobi Fora,East Turkana,Lokochot,Bovidae,0.79,86.9
ET03-165,Koobi Fora,East Turkana,Lokochot,Bovidae,-0.66,77.4
ET03-169,Koobi Fora,East Turkana,Lokochot,Bovidae,-1.88,69.4
AV-FS-1360,Koobi Fora,East Turkana,Lokochot,Elephantidae,-1.8,69.9
AV-FS-13-100,Koobi Fora,East Turkana,Lokochot,Elephantidae,-7.1,35.3
AV-FS-1383,Koobi Fora,East Turkana,Lokochot,Equidae,-0.9,75.8
ET03-174,Koobi Fora,East Turkana,Lokochot,Equidae,-1.35,72.9
1094,Koobi Fora,East Turkana,Lokochot,Giraffidae,-12.5,0.0
1095,Koobi Fora,East Turkana,Lokochot,Giraffidae,-11.53,6.3
AV-FS-13-90,Koobi Fora,East Turkana,Lokochot,Hippopotamidae,-8.4,26.8
ET03-176,Koobi Fora,East Turkana,Lokochot,Hippopotamidae,-4.3,53.6
AV-FS-13-97,Koobi Fora,East Turkana,Lokochot,Suidae,-2.6,64.7
AV-FS-13-96,Koobi Fora,East Turkana,Lokochot,Suidae,-1.5,71.9
AV-FS-1375,Koobi Fora,East Turkana,Lokochot,Suidae,-2,68.6
AV-FS-1364,Koobi Fora,East Turkana,Lokochot,Suidae,-2.9,62.7
AV-FS-1534,Koobi Fora,East Turkana,Lokochot,Suidae,-2,68.6
1084,Koobi Fora,East Turkana,Lokochot,Suidae,-2.01,68.6
AV-FS-13-101,Koobi Fora,East Turkana,Lokochot,Suidae,-1.65,70.9
AV-FS-13-76,Koobi Fora,East Turkana,Lokochot,Suidae,-0.45,78.8
ET03-134,Koobi Fora,East Turkana,Lokochot,Suidae,-3.99,55.6
ET03-151,Koobi Fora,East Turkana,Lokochot,Suidae,-2.63,64.5
ET03-171,Koobi Fora,East Turkana,Lokochot,Suidae,-0.83,76.3