Sample Name,Strat level corrected,Strat level (masl),Declination,Inclination,Intensity,MAD,Forced,Type,Quality,Num Step,Min Step,Max Step,Remark,Information
129EA5.1,25.61,476.9,18.5,-9.07,5904.18,9.28,FALSE,dir,1,10,150 ¡C,520 ¡C,,
129EA5.2,25.3,476.59,6.5,1.16,39964.26,4.19,FALSE,dir,1,13,150 ¡C,620 ¡C,,
129EA5.3,25.17,476.46,21.95,-3.27,60909.95,5.88,FALSE,dir,1,13,150 ¡C,620 ¡C,,
129EA4.1,19.6,470.89,18.44,-7.7,15677.93,15.19,FALSE,dir,2,6,15 mT,50 mT,,
129EA4.1,19.6,470.89,18.19,-15.39,35416.17,10.86,FALSE,dir,1,7,150 ¡C,430 ¡C,,
129EA4.3,19.29,470.58,0.53,3,15433.23,9.77,FALSE,dir,1,7,15 mT,50 mT,,
129EA4.3,19.29,470.58,4.36,-23,58518.6,17.71,FALSE,dir,2,7,150 ¡C,430 ¡C,,
129EA4.5,19.12,470.41,1.27,6.78,21800.01,10.43,FALSE,dir,1,7,15 mT,50 mT,,
129EA4.5,19.12,470.41,9.97,2.82,66142.08,9.66,FALSE,dir,1,9,150 ¡C,490 ¡C,,
129EA4.2,19.1,470.39,242.74,80.38,14600.91,15.4,FALSE,dir,2,9,15 mT,70 mT,high inc,
129EA4.2,19.1,470.39,346.23,-4.44,49147.86,11.4,FALSE,dir,1,9,150 ¡C,490 ¡C,,
129EA4.4,18.77,470.06,2.17,14.35,15827.17,7.89,FALSE,dir,1,5,15 mT,60 mT,,
129EA4.4,18.77,470.06,11.53,-6.55,46819.65,9.75,FALSE,dir,1,9,150 ¡C,490 ¡C,,
129EA3.1,9.87,461.16,5.41,2.78,91194.47,11.25,FALSE,dir,1,10,150 ¡C,520 ¡C,,
129EA3.2,9.71,461,11.52,-19.66,111321.05,5.38,FALSE,dir,1,11,150 ¡C,550 ¡C,,
129EA1.6,3.62,454.91,352.18,-4.98,91816.57,15.95,FALSE,dir,2,8,150 ¡C,460 ¡C,,
129EA1.1,3.24,454.53,1.88,-0.29,18582.22,6.36,FALSE,dir,1,8,15 mT,60 mT,,
129EA1.1,3.24,454.53,358.81,-6.48,69069.1,11.26,FALSE,dir,1,10,150 ¡C,520 ¡C,,
129EA1.2,2.88,454.17,353.42,2.17,20994.86,5.47,FALSE,dir,1,8,15 mT,60 mT,,
129EA1.2,2.88,454.17,20.21,-15.56,63356.84,15.84,FALSE,dir,2,10,150 ¡C,520 ¡C,,
129EA1.3,2.61,453.9,4.97,5.79,34856.23,7.05,FALSE,dir,1,8,15 mT,60 mT,,
129EA1.3,2.61,453.9,351.54,-8.92,144298.88,3.67,FALSE,dir,1,10,150 ¡C,520 ¡C,,
129EA1.4,2.44,453.73,358.94,51.37,138859.27,3.73,FALSE,dir,1,12,150 ¡C,580 ¡C,,
129EA1.7,1.35,452.64,356.82,2.76,78295.67,6.09,FALSE,dir,1,10,150 ¡C,520 ¡C,,
129EA1.9,1.03,452.32,350.15,1.19,113890.75,5.23,FALSE,dir,1,11,150 ¡C,550 ¡C,,
129EA1.8,0.83,452.12,349.4,-5.07,144402.59,17.18,FALSE,dir,2,11,150 ¡C,550 ¡C,,
129EA1.10,0.66,451.95,349.61,-5.07,172905.45,5.18,FALSE,dir,1,14,150 ¡C,650 ¡C,,
129EA1.11,0.49,451.78,353.11,2.6,32006.49,9.71,FALSE,dir,1,12,150 ¡C,580 ¡C,,
129EA1.12,0.19,451.48,344.24,-8.76,165558.06,13.08,FALSE,dir,1,12,150 ¡C,580 ¡C,,
DX01,-0.51,450.78,351.05,-2.67,31290.72,7.46,FALSE,dir,1,12,150 ¡C,580 ¡C,,
DX02,-0.61,450.68,16.81,-1.37,39714.1,10.02,FALSE,dir,1,13,150 ¡C,660 ¡C,,
DX04,-1.16,450.13,356.03,-2.75,72616.97,3.04,FALSE,dir,1,13,150 ¡C,660 ¡C,,
DX05,-1.16,450.13,4,-2.34,76815.52,6.92,FALSE,dir,1,12,150 ¡C,580 ¡C,,
DX07,-2.16,449.13,343.64,-6.91,51954.2,6.05,FALSE,dir,1,11,150 ¡C,550 ¡C,,
DX11,-2.76,448.53,47.77,-8.5,21876.98,8.01,FALSE,dir,1,8,150 ¡C,460 ¡C,,
DX13,-2.76,448.53,335.4,-0.82,27907.39,7.15,FALSE,dir,1,7,150 ¡C,430 ¡C,,
DX14,-2.76,448.53,90.67,-6.5,37706.03,9.37,FALSE,dir,1,9,150 ¡C,490 ¡C,,