Sample ID,d13C,d18O,fwc,% C4,type,comment
KF170714.129.001,-26.1752,,0.053516935,50.2,plant was biomarker,C30
KF170714.129.002,-30.2133,,0.251558818,17.63467742,plant was biomarker,C30
KF170714.129.003,-27.8753,,0.121710316,36.48951613,plant was biomarker,C30
KF170714.129.004,-26.9042,,0.079674969,44.32096774,plant was biomarker,C30
KF170715.129.001,-26.4332,,0.062221697,48.11935484,plant was biomarker,C30
KF170715.129.002,-21.7162,,0.007886461,86.15967742,plant was biomarker,C30
KF170715.129.003,-26.7362,,0.073221616,45.67580645,plant was biomarker,C30
KF170715.129.004,-27.2892,,0.09539293,41.21612903,plant was biomarker,C30
KF170714.129.001,-26.5661,,0.066944183,47.04758065,plant was biomarker,C31
KF170714.129.004,-27.1297,,0.088726237,42.50241935,plant was biomarker,C31
KF170715.129.001,-26.7017,,0.071927419,45.95403226,plant was biomarker,C31
KF170715.129.002,-22.8287,,7.21E-05,77.18790323,plant was biomarker,C31
KF170715.129.003,-25.5747,,0.035681527,55.04274194,plant was biomarker,C31
KF170715.129.004,-27.0137,,0.084014928,43.43790323,plant was biomarker,C31
KF170715.129.002,-7.612001626,-4.2,0.578093492,20.74998871,pedogenic carbonate,
KF170715.129.004,-8.163001626,-4.3,0.624146576,16.92359982,pedogenic carbonate,
KF170715.129.006,-8.036001626,-4.6,0.613614505,17.80554426,pedogenic carbonate,
129NL-17b,-6.9,-5.7,0.517620188,25.69444444,pedogenic carbonate,
129NL-17c,-8.7,-2.8,0.667975943,13.19444444,pedogenic carbonate,
129NL-17d,-7.9,-5.5,0.602276815,18.75,pedogenic carbonate,
129NL-17e,-6,-2,0.440920183,31.94444444,pedogenic carbonate,
129NL-01A,-8.2,-5.4,0.627204078,16.66666667,pedogenic carbonate,
129NL-02A #3,-4.9,-2.9,0.349246732,39.58333333,pedogenic carbonate,
129NL-06a,-5.2,-2.7,0.373855849,37.5,pedogenic carbonate,
129NL-08A,-8.6,-4.9,0.659910081,13.88888889,pedogenic carbonate,
129NL-08B1,-8,-3.9,0.610618965,18.05555556,pedogenic carbonate,
129NL-08C,-7.7,-3.6,0.58550549,20.13888889,pedogenic carbonate,
129NL-08D,-5.3,-1.6,0.382135652,36.80555556,pedogenic carbonate,
129NL-09a,-6.7,-4,0.500547836,27.08333333,pedogenic carbonate,
129NL-10a,-8.3,-5.3,0.635442205,15.97222222,pedogenic carbonate,
129NL-10b,-8.1,-4.6,0.61892886,17.36111111,pedogenic carbonate,
129NL-10c,-8.6,-5.5,0.659910081,13.88888889,pedogenic carbonate,
129NL-11a,-5.4,-2.2,0.390449822,36.11111111,pedogenic carbonate,
129NL-11b,-7.9,-4.6,0.602276815,18.75,pedogenic carbonate,
129NL-12a,-4.8,-3.1,0.341128429,40.27777778,pedogenic carbonate,
129NL-12b,-8.3,-5.7,0.635442205,15.97222222,pedogenic carbonate,
129NL-12c,-7.9,-5.4,0.602276815,18.75,pedogenic carbonate,
129NL-13a,-7,-4.2,0.526149901,25,pedogenic carbonate,
129NL-13b,-6.3,-3.8,0.466421129,29.86111111,pedogenic carbonate,
129NL-13c,-7.9,-4.7,0.602276815,18.75,pedogenic carbonate,
129NL-13d,-8.1,-5,0.61892886,17.36111111,pedogenic carbonate,
129NL-14b,-7.8,-4.7,0.593904843,19.44444444,pedogenic carbonate,
129NL-15a,-6.4,-5.1,0.474944335,29.16666667,pedogenic carbonate,
129NL-16a,-6.3,-1.8,0.466421129,29.86111111,pedogenic carbonate,
AV PC 1503a,-8.6,-5.5,0.659910081,13.88888889,pedogenic carbonate,
AV PC 1504a,-7.7,-3.9,0.58550549,20.13888889,pedogenic carbonate,
AV-PC-13-21A,-7.28,-6.82,0.549984604,23.05555556,pedogenic carbonate,
AV-PC-13-21B,-8.61,-4.35,0.660718804,13.81944444,pedogenic carbonate,
AV-PC-13-22A,-6.44,-2.81,0.478355802,28.88888889,pedogenic carbonate,
AV-PC-13-22B,-8.15,-3.68,0.623070955,17.01388889,pedogenic carbonate,
AV-PC-13-23A,-7.21,-3.65,0.544034514,23.54166667,pedogenic carbonate,
AV-PC-13-23B,-7.35,-3.22,0.555927552,22.56944444,pedogenic carbonate,
AV-PC-13-24A,-7.58,-3.33,0.575393572,20.97222222,pedogenic carbonate,
AV-PC-13-29A,-4.58,-1.86,0.323434538,41.80555556,pedogenic carbonate,
AV-PC-13-29B,-5.38,-2,0.388784355,36.25,pedogenic carbonate,
AV-PC-1501a,-5.1,-1.3,0.365612828,38.19444444,pedogenic carbonate,
AV-PC-1501b,-4.3,-0.9,0.301278636,43.75,pedogenic carbonate,
AV-PC-1502a,-5,-1.8,0.357408991,38.88888889,pedogenic carbonate,
AV-PC-1505a,-7.2,-4.5,0.543183968,23.61111111,pedogenic carbonate,
AV-PC-1506a,-6.3,-3.7,0.466421129,29.86111111,pedogenic carbonate,
AV-PC-1507a,-4.9,0.5,0.349246732,39.58333333,pedogenic carbonate,
AV-PC-1507b,-7.9,-0.8,0.602276815,18.75,pedogenic carbonate,
AV-PC-1508a,-6.2,-0.8,0.457907714,30.55555556,pedogenic carbonate,
AV-PC-1509a,-8.2,-1.3,0.627204078,16.66666667,pedogenic carbonate,
1094,-12.5,5.429,0.822571976,-1.388888889,enamel,
1095,-11.53,4.567,0.755167578,5.347222222,enamel,
AV-FS-13-90,-8.4,-2.2,0.500547836,27.08333333,enamel,
AV FS 1517,-7.48,2.514,0.422314241,33.47222222,enamel,
AV-FS-13-100,-7.1,-2.1,0.390449822,36.11111111,enamel,
AV-FS-1530,-6,0.6,0.301278636,43.75,enamel,
AV-FS-1353,-5.5,-3.4,0.262876591,47.22222222,enamel,
AV-FS-1536,-4.9,1.9,0.219098218,51.38888889,enamel,
AV-FS-13-77-2,-4.8,-2.6,0.212076278,52.08333333,enamel,
AV-FS-13-77-1,-4.8,-2.6,0.212076278,52.08333333,enamel,
AV-FS-1392,-4.7,-0.4,0.205138291,52.77777778,enamel,
AV-FS-1520,-4.3,-2.7,0.178265959,55.55555556,enamel,
AV-FS-1533,-4.3,-0.8,0.178265959,55.55555556,enamel,
ET03-176,-4.3,-4.426,0.178265959,55.55555556,enamel,
ET03-134,-3.99,-2.998,0.158465707,57.70833333,enamel,
AV-FS-13113-2,-3.3,-0.6,0.117906366,62.5,enamel,
ET03-136,-3.23,-0.683,0.114078881,62.98611111,enamel,
AV-FS-1525-2,-2.9,4.8,0.096786611,65.27777778,enamel,
AV-FS-1364,-2.9,1.4,0.096786611,65.27777778,enamel,
AV-FS-1372,-2.7,1.3,0.086926078,66.66666667,enamel,
ET03-151,-2.63,-0.401,0.083588132,67.15277778,enamel,
AV-FS-13-97,-2.6,-1.9,0.082175769,67.36111111,enamel,
AV FS 1514,-2.53,2.471,0.078922961,67.84722222,enamel,
ET03-157,-2.44,3.433,0.074829245,68.47222222,enamel,
1093,-2.38,2.671,0.07215583,68.88888889,enamel,
1084,-2.01,-3.426,0.056672501,71.45833333,enamel,
AV-FS-1524,-2,3.4,0.056278323,71.52777778,enamel,
AV-FS-1375,-2,0.7,0.056278323,71.52777778,enamel,
AV-FS-1534,-2,2.2,0.056278323,71.52777778,enamel,
ET03-143,-1.88,2.892,0.051649439,72.36111111,enamel,
ET03-169,-1.88,1.132,0.051649439,72.36111111,enamel,
AV-FS-1360,-1.8,-4.2,0.048667982,72.91666667,enamel,
AV-FS-13-101,-1.65,-1.532,0.043305191,73.95833333,enamel,
AV-FS-13-96,-1.5,-1.5,0.038242009,75,enamel,
ET03-174,-1.35,0.532,0.03348176,76.04166667,enamel,
AV FS 1523,-1.22,1.745,0.029603669,76.94444444,enamel,
AV-FS-1383,-0.9,-0.7,0.02104883,79.16666667,enamel,
ET03-171,-0.83,-0.548,0.019367239,79.65277778,enamel,
ET03-165,-0.66,1.158,0.015569728,80.83333333,enamel,
ET03-156,-0.47,2.006,0.011808644,82.15277778,enamel,
AV-FS-13-76,-0.45,1.565,0.011442568,82.29166667,enamel,
1079,-0.27,3.12,0.008404799,83.54166667,enamel,
AV-FS-1374,0,-0.5,0.004719669,85.41666667,enamel,
1250,0.12,0.045,0.003419328,86.25,enamel,
ET03-163,0.79,0.74,1.70E-06,90.90277778,enamel,